date,actual,window,step,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarima_target_only,sarimax_calendar,sarimax_calendar_weather,feature_restricted_24,feature_direct,feature_recursive,feature_cov_lagged,feature_cov_realised,chronos_bolt_base
2016-05-13 18:00:00,348.3333333333333,1,1,97.37667908341798,231.66666666666663,105.0,176.66666666666666,231.72651309846427,241.24408580307733,242.9619296316919,246.032835188275,206.60410510574985,275.84815090544333,275.84815090544333,186.9707119023928,198.88963148115585,175.4259
2016-05-13 19:00:00,208.3333333333333,1,2,97.37667908341798,231.66666666666663,123.33333333333331,126.66666666666669,231.78635953026196,161.22344944145848,163.69913978833642,166.273798542615,178.98315267829614,147.02514549580388,212.613550801795,169.10502882513393,141.66688216580255,118.322556
2016-05-13 20:00:00,120.0,1,3,97.37667908341798,231.66666666666663,100.0,116.66666666666669,231.8462059620596,136.92876249486838,140.63548566322171,143.31990377255255,173.48307146543024,127.52094536812795,159.64129367958796,172.21700956452793,171.00573914545322,91.89833
2016-05-13 21:00:00,63.333333333333336,1,4,97.37667908341798,231.66666666666663,71.66666666666667,71.66666666666667,231.90605239385724,94.5641354898434,99.16192883703,105.90928616348364,77.2094024815716,82.76896696840763,118.58410527253932,72.83544487433538,84.44746464878014,69.911766
2016-05-13 22:00:00,55.0,1,5,97.37667908341798,231.66666666666663,60.0,53.333333333333336,231.96589882565488,73.04654520355734,78.4489530688802,85.88193264782694,67.24112538998494,47.94219540385999,91.0288115342584,58.18520728847806,61.30134482786324,62.173805
2016-05-13 23:00:00,61.66666666666666,1,6,97.37667908341798,231.66666666666663,56.66666666666666,58.333333333333336,232.0257452574525,61.2916164686914,67.58312348046024,75.5353027876464,64.70118858126708,47.16852874300456,64.94537481913365,62.54522510907709,57.52151010390415,57.60488
2016-05-14 00:00:00,58.333333333333336,1,7,97.37667908341798,231.66666666666663,55.0,51.66666666666666,232.08559168925015,56.36073510568153,54.864515848577135,60.50053401051152,52.268290845113874,49.00276272950934,54.43760634065182,55.52580381402529,62.23051764839228,56.2216
2016-05-14 01:00:00,63.333333333333336,1,8,97.37667908341798,231.66666666666663,53.333333333333336,56.66666666666666,232.14543812104785,54.913388491422005,54.14957942212877,58.191407528391935,56.49499515699178,48.74794528127784,49.28594852956368,53.08156272653312,56.99774396144842,56.02538
2016-05-14 02:00:00,60.0,1,9,97.37667908341798,231.66666666666663,58.333333333333336,53.333333333333336,232.20528455284548,53.24031656867741,52.99906868035952,56.19127933119559,56.246139193488965,49.17320228811025,51.84063641952672,51.49634428152188,47.51483560350227,54.221478
2016-05-14 03:00:00,60.0,1,10,97.37667908341798,231.66666666666663,58.333333333333336,55.0,232.26513098464315,51.58928434248523,51.71396096899274,55.1124570588745,58.320998885168585,45.5986280368057,49.91982404528463,61.63732546834167,70.30556496239161,52.900063
2016-05-14 04:00:00,60.0,1,11,97.37667908341798,231.66666666666663,50.0,55.0,232.3249774164408,51.31910617758268,51.69671554945565,56.86832862853752,58.25211592685795,48.99535542671922,50.75539375319157,62.245646932367386,72.2395499499401,51.73277
2016-05-14 05:00:00,56.66666666666666,1,12,97.37667908341798,231.66666666666663,58.333333333333336,51.66666666666666,232.38482384823843,60.47544343106214,61.02039423610613,66.52611285896651,58.301436551295055,44.715662053641616,52.54940698063418,62.76666402081525,77.98988028900668,55.555256
2016-05-14 06:00:00,63.333333333333336,1,13,97.37667908341798,231.66666666666663,146.66666666666666,53.333333333333336,232.4446702800361,70.46908598467893,71.1261420225472,76.45981479980776,122.82705782027575,78.45149280632512,78.96877904270254,119.55735139976736,130.56516235186717,64.77609
2016-05-14 07:00:00,113.33333333333331,1,14,97.37667908341798,231.66666666666663,176.66666666666666,148.33333333333334,232.50451671183376,99.1976634754397,99.92276262762071,105.5090609991652,160.0497923628687,123.45687065879252,131.91679286722595,182.2886722818968,176.89347149643822,93.36205
