date,actual,forecast,lower_80,upper_80,lower_95,upper_95
2016-05-13 18:00:00,348.3333333333333,241.24408580307735,162.73160272896212,319.7565688771926,121.16960476049532,361.3185668456594
2016-05-13 19:00:00,208.33333333333331,161.22344944145848,77.67454126060048,244.7723576223165,33.44642088893343,289.0004779939835
2016-05-13 20:00:00,120.0,136.92876249486838,48.64714192537771,225.21038306435906,1.9136749517441558,271.9438500379926
2016-05-13 21:00:00,63.333333333333336,94.5641354898434,4.423780785128798,184.704490194558,0.0,232.42191158317513
2016-05-13 22:00:00,55.0,73.04654520355734,0.0,164.13035946176467,0.0,212.3472181692675
2016-05-13 23:00:00,61.66666666666666,61.2916164686914,0.0,152.99603152504415,0.0,201.54141645031285
2016-05-14 00:00:00,58.333333333333336,56.36073510568153,0.0,148.39152275988204,0.0,197.10967890212916
2016-05-14 01:00:00,63.333333333333336,54.913388491422005,0.0,147.07572310671975,0.0,195.86351600373263
2016-05-14 02:00:00,60.0,53.24031656867741,0.0,145.45575110056728,0.0,194.27165339546335
2016-05-14 03:00:00,60.0,51.58928434248523,0.0,143.8261658692953,0.0,192.65342151749778
2016-05-14 04:00:00,60.0,51.31910617758268,0.0,143.5646522087361,0.0,192.3964945684756
2016-05-14 05:00:00,56.66666666666666,60.47544343106214,0.0,152.7244902295794,0.0,201.55818578361826
2016-05-14 06:00:00,63.333333333333336,70.46908598467893,0.0,162.7195472730832,0.0,211.55399161283754
2016-05-14 07:00:00,113.33333333333331,99.1976634754397,6.946630651367286,191.4486962995121,0.0,240.2834431919733
2016-05-14 08:00:00,133.33333333333334,115.3089477838343,23.057684024836902,207.5602115428317,0.0,256.39508068485765
2016-05-14 09:00:00,118.33333333333331,104.35105430331254,12.099697232417356,196.60241137420772,0.0,245.43732991256854
2016-05-14 10:00:00,158.33333333333334,111.3895689118716,19.138174137197524,203.6409636865457,0.0,252.47590218408143
2016-05-14 11:00:00,96.66666666666669,116.36705910783144,24.115649098493435,208.61846911716944,0.0,257.4534156794491
2016-05-14 12:00:00,116.66666666666669,110.01276789804734,17.76135173296224,202.26418406313246,0.0,251.09913388406778
2016-05-14 13:00:00,113.33333333333331,103.33607654440166,11.084657892012686,195.58749519679066,0.0,244.4224463344251
2016-05-14 14:00:00,106.66666666666669,100.47104799200756,8.21962833459726,192.72246764941787,0.0,241.5574193190785
2016-05-14 15:00:00,130.0,94.48542173069416,2.234001667249899,186.7368417941384,0.0,235.57179367874045
2016-05-14 16:00:00,111.66666666666669,124.89401913062511,32.642598903094466,217.14543935815576,0.0,265.98039132961986
2016-05-14 17:00:00,241.66666666666663,181.78290596472607,89.53148567450852,274.0343262549436,40.696533669859974,322.8692782595922
